prca,prcw,qtya,qtyw,mon,tues,wed,thurs,speed2,wave2,speed3,wave3,avgprc,totqty,lavgprc,ltotqty,t,lavgp_1,gavgprc,gavgp_1
.74000001,.77499998,1420,410,0,1,0,0,5,7,20,3.5,.74784154,1830,-.29056418,7.5120711,65,-.081437975,-.2091262,.43452409
.62,.67500001,1530,950,0,0,1,0,15,7,10,3,.64106858,2480,-.44461885,7.8160138,66,-.29056418,-.15405467,-.2091262
.61176473,.61538458,4440,4225,0,0,0,1,10,4,25,7,.61352974,8665,-.48852652,9.0670471,67,-.44461885,-.043907672,-.15405467
.80714291,.8416667,1530,340,0,0,0,0,10,5,20,7,.81341994,1870,-.20650777,7.5336938,68,-.48852652,.28201875,-.043907672
1.15,1.2166671,660,480,1,0,0,0,25,8,35,6.5,1.1780703,1140,.16387777,7.0387836,69,-.20650777,.37038553,.28201875
.89999998,1.333333,360,690,0,1,0,0,10,6.5,35,8,1.1847616,1050,.16954161,6.9565454,70,.16387777,.005663842,.37038553
.80000001,.8416667,3440,830,0,0,1,0,10,4,35,8,.80809915,4270,-.21307051,8.3593693,71,.16954161,-.38261211,.005663842
.63125002,.64375001,3270,5320,0,0,0,1,10,4,15,6.5,.63899159,8590,-.44786397,9.0583544,72,-.21307051,-.23479345,-.38261211
.52666658,.59117651,6190,3270,0,0,0,0,10,4,15,4,.54896545,9460,-.59971976,9.1548281,73,-.44786397,-.1518558,-.23479345
.64999998,.69166672,1482,2550,1,0,0,0,10,4,20,4,.67635173,4032,-.39104202,8.3020182,74,-.59971976,.20867774,-.1518558
.75,.61666667,200,675,0,1,0,0,10,4,15,4,.64714289,875,-.43518817,6.7742238,75,-.39104202,-.04414615,.20867774
.50666672,.5866667,6660,4280,0,0,1,0,10,3,20,4,.5379647,10940,-.61996233,9.3001814,76,-.43518817,-.18477416,-.04414615
.65625,.72299999,1400,1725,0,0,0,1,10,3,15,4,.69309598,3125,-.36658677,8.0471897,77,-.61996233,.25337556,-.18477416
.64499998,.75714278,3480,990,0,0,0,0,10,3,15,3,.669837,4470,-.40072089,8.4051437,78,-.36658677,-.03413412,.25337556
.68124998,.79500002,2960,1560,1,0,0,0,15,3.5,15,3,.72050881,4520,-.32779762,8.4162674,79,-.40072089,.072923273,-.03413412
.64999998,.73571432,930,680,0,1,0,0,15,4,25,3,.68620229,1610,-.3765828,7.3839893,80,-.32779762,-.04878518,.072923273
.60000002,.92500001,190,180,0,0,1,0,5,4,25,3.5,.75810814,370,-.27692923,5.9135032,81,-.3765828,.099653572,-.04878518
.71875,.75,4820,2350,0,0,0,1,5,3,25,4,.72899234,7170,-.31609204,8.8776608,82,-.27692923,-.039162815,.099653572
.78076923,.81875002,4750,890,0,0,0,0,10,4,10,4,.78676265,5640,-.23982866,8.637639,83,-.31609204,.076263383,-.039162815
.7475,.75555563,4600,1260,0,1,0,0,10,4,15,4,.74923211,5860,-.28870645,8.6759052,84,-.23982866,-.048877791,.076263383
.85500002,.93636358,1620,1330,0,0,1,0,10,3,15,4,.89168257,2950,-.11464508,7.9895606,85,-.28870645,.17406137,-.048877791
.85333341,.86571431,3330,2520,0,0,0,1,10,5,15,4,.85866672,5850,-.15237442,8.6741972,86,-.11464508,-.037729338,.17406137
.58076918,.66923082,9120,1660,0,0,0,0,10,5,15,3,.59439129,10780,-.52021742,9.2854481,87,-.15237442,-.367843,-.037729338
.60624999,.66000003,1620,1440,1,0,0,0,10,3.5,18,3,.63154411,3060,-.45958748,8.0261698,88,-.52021742,.060629934,-.367843
.53333342,.60555547,1260,1260,0,1,0,0,10,3,15,3.5,.56944442,2520,-.56309408,7.8320141,89,-.45958748,-.10350659,.060629934
.43333331,.51666671,3420,970,0,0,1,0,10,3,15,3.5,.45174637,4390,-.7946344,8.387085,90,-.56309408,-.23154032,-.10350659
.38,.47499999,4890,2050,0,0,0,1,10,3,15,3,.40806195,6940,-.89633626,8.8450575,91,-.7946344,-.10170186,-.23154032
.3088235,.33750001,5700,900,0,0,0,0,10,3.5,15,3,.31273392,6600,-1.1624025,8.7948246,92,-.89633626,-.26606625,-.10170186
.3208333,.64375001,2290,1160,1,0,0,0,15,4.5,15,3.5,.42940819,3450,-.84534729,8.1461296,93,-1.1624025,.31705523,-.26606625
.875,.93333328,540,690,0,1,0,0,12,4.5,25,4,.90772355,1230,-.096815415,7.1147695,94,-.84534729,.74853188,.31705523
1.235714,1.25,1000,250,0,0,1,0,12,5,25,4.5,1.2385712,1250,.21395843,7.130899,95,-.096815415,.31077385,.74853188
1.25,1.25,2500,1480,0,0,0,1,15,6,18,4.5,1.25,3980,.22314355,8.2890368,96,.21395843,.0091851205,.31077385
1.73,1.708333,3040,740,0,0,0,0,15,9,20,5,1.7257583,3780,.54566658,8.2374792,97,.22314355,.32252303,.0091851205
